
Title,Company,Salary,Location,ExpireDate,Link,Description
Chuyên viên chính/cao cấp phân tích dữ liệu nâng cao (Advanced Analytics),Ngân Hàng TMCP Tiên Phong (TPBank),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 20-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-cao-cap-phan-tich-du-lieu-nang-cao-advanced-analytics.35C244D6.html,"Ưu tiên các trường đại học quốc tế hoặc ĐH BKHN/ ĐHQGHN (trong trường hợp đào tạo trong nước); chuyên ngành Khoa học dữ liệu/Khoa học máy tính/Lập trình ứng dụng,...; Đã có kinh nghiệm làm việc trong mảng phân tích dữ liệu, khoa học dữ liệu tại các tổ chức tài chính/ngân hàng/các công ty công nghệ.; Sử dụng thành thạo ít nhất một phần mềm phân tích dữ liệu, xây dựng mô hình như Python/ Docker / Kubernetes / Hadoop/Spark/Kafka; Cẩn thận, tỉ mỉ, làm việc tốt dưới áp lực;; Ưu tiên các ứng viên có kinh nghiệm tham gia triển khai các dự án liên quan tới phân tích dữ liệu/ phân tích nâng cao tại các ngân hàng thương mại;; Sử dụng thành thạo ít nhất một công cụ BI và trực quan hóa dữ liệu là một lợi thế;; Có kỹ năng, tư duy lập trình là một lợi thế;; Kỹ năng ngôn ngữ và diễn đạt văn bản tốt; sử dụng thành thạo tiếng Việt và có khả năng giao tiếp bằng tiếng Anh."
Technical Architect,"HD SAISON Finance Co., Ltd",Lương: Cạnh tranh,Hồ Chí Minh,Hạn nộp: 01-12-2024,https://careerviet.vn/vi/tim-viec-lam/technical-architect.35C2477F.html,"Tối thiểu có 6 năm phát triển phần mềm; Có kinh nghiệm trong ngành Tài chính tiêu dùng, Bảo hiểm, Ngân hàng là một lợi thế.; Có kiến thức về kiến trúc hệ thống chịu tải cao, design parttern, microservices,...; Thiết kế OpenAPI, API cho đối tượng cụ thể.; Hiểu biết sâu về các kỹ thuật/công nghệ: Redis, MongoDB, PostgreSQL, Kafka, Kong API Gateway …; Có khả năng tuning performance của ứng dụng, hệ thống.; Có kinh nghiệm phát triển, sử dụng cloud, FrontEnd là một lợi thế.; Kiến thức về Java Spring Boot, ReactJS, CSS...; Kiến thức về Frontend, Backend."
"Senior System Administrator (Linux, Database)",Simpson Strong Tie Viet Nam Company Limited,Lương: Cạnh tranh,Hồ Chí Minh,Hạn nộp: 06-12-2024,https://careerviet.vn/vi/tim-viec-lam/senior-system-administrator-linux-database.35C25895.html,"8 years of Linux Administration experience, preferably SUSE.; 3 years of scripting experience in shell, Perl, Python, etc.; 2 years of database administration and support skills preferably SQL Server.; 2 years’ experience in SAP environments; 1 year experience as a technical or team Lead; Attractive salary with 100% salary during probation; 13th-month salary, Performance bonus, Salary review annually; Premium health care program for employees + one of your beloved ones, Annual medical check-up; 14 vacation days, Christmas Day per year; Opportunity to be on-site in the USA; Chance to collaborate and work with global stakeholders; Provide training to develop our employee‘s knowledge and skills (Internal training: Udemy, Pluralsight, and another online training course, TechTalk sharing within Software Development Division; External training: Management, English, Soft Skills, ….); Benefits for special holidays (Birthday, Marriage, Women’s Day, Tet Holidays, Mid-Autumn, Newborn babies, International Children‘s Day…); Company trip and Year-End party every year; Social, sports and several team building activities; Young, friendly and international working environment; Modern working conditions and entertainment facilities at the office; Snacks, tea and coffee all the time; Compliance fully to Vietnam Labor code"
[CVP] Chuyên gia Phân tích dữ liệu,Công Ty Tài Chính TNHH MB SHINSEI (MCREDIT),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 06-12-2024,https://careerviet.vn/vi/tim-viec-lam/cvp-chuyen-gia-phan-tich-du-lieu.35C1F8FC.html,"Tốt nghiệp Đại học trở lên chuyên ngành: Toán kinh tế, Phân tích kinh doanh, Khoa học dữ liệu, Phân tích dữ liệu, Tài chính - Ngân hàng, Tài chính - Doanh nghiệp, Kinh tế, Kế toán kiểm toán, Quản trị kinh doanh và các ngành liên quan.; Ứng viên có từ 5 năm kinh nghiệm tương đương tại các vị trí Phân tích dữ liệu, Phân tích kinh doanh, Phân tích báo cáo, Mô hình dữ liệu là lợi thế lớn; Ứng viên thành thạo các công cụ excel, SQL, Power BI, VBA, Python,...; Chứng chỉ nghề (ưu tiên): Phân tích dữ liệu/ MOS/ Microsoft/ Oracle/ Tableau/ Nghiên cứu thị trường/ Phân tích đầu tư tài chính – CFA; Tiếng Anh: TOEIC 500 trở lên hoặc chứng chỉ tương đương"
Kiểm toán viên/ Chuyên viên Kiểm toán nội bộ Công nghệ thông tin,VCBS - Chung khoan VCB,Lương: Cạnh tranh,Hà Nội,Hạn nộp: 06-12-2024,https://careerviet.vn/vi/tim-viec-lam/kiem-toan-vien-chuyen-vien-kiem-toan-noi-bo-cong-nghe-thong-tin.35C1F664.html,"Trình độ:; Tốt nghiệp Đại học trở lên các chuyên ngành Kiểm toán, An toàn thông tin, công nghệ thông tin hoặc các chuyên ngành kỹ thuật khác có liên quan; Không phải là người đã từng bị xử phạt từ mức phạt tiền trở lên đối với các hành vi vi phạm trong lĩnh vực chứng khoán, ngân hàng, bảo hiểm trong vòng năm (05) năm gần nhất;; Trình độ ngoại ngữ: Tiếng Anh chứng chỉ B1 Châu Âu (hoặc tương đương) trở lên, giao tiếp và đọc hiểu được các tài liệu Tiếng Anh liên quan đến công việc phụ trách.; Kinh nghiệm:; Có ít nhất 02 năm kinh nghiệm về CNTT hoặc kiểm toán CNTT trong các tổ chức tài chính (ngân hàng, công ty tài chính…) hoặc các tổ chức tư vấn.; Kiến thức:; Am hiểu về môi trường pháp lý liên quan đến lĩnh vực chứng khoán.; Am hiểu về thị trường chứng khoán, vốn và các sản phẩm, dịch vụ liên quan đến lĩnh vực chứng khoán.; Có kiến thức đầy đủ và luôn được cập nhật về các lĩnh vực được giao thực hiện kiểm toán nội bộ.; Có kiến thức tốt về Kiểm toán CNTT: hạ tầng CNTT, thiết bị mạng, các hệ điều hành, cơ sở dữ liệu, an ninh thông tin; Dự án CNTT, SQL; Kỹ năng:; Kỹ năng làm việc độc lập và làm việc theo nhóm.; Khả năng:; Khả năng tư duy logic.; Khả năng đánh giá, phân tích và ra quyết định.; Khả năng nhận biết, đánh giá rủi ro.; Phẩm chất cá nhân:; Chịu được áp lực công việc.; Nhạy bén, linh hoạt.; Trung thực, có tinh thần trách nhiệm trong công việc.; Cam kết làm việc lâu dài với Công ty.; Mức lương: Thỏa thuận, cạnh tranh trên thị trường và được hưởng mức thu nhập theo kết quả hoạt động kinh doanh của Công ty, xứng đáng với năng lực, kinh nghiệm và hiệu quả công việc.; Được hưởng các khoản phụ cấp ăn trưa, trách nhiệm công việc,…; Được hưởng đầy đủ chế độ BHXH, BHYT và các chế độ phúc lợi khác theo quy định.; Được hưởng gói Bảo hiểm chăm sóc sức khỏe và hỗ trợ y tế cho CBNV và tham gia bảo hiểm cho người thân.; Có nhiều cơ hội thăng tiến; Được đào tạo, tạo điều kiện tối đa để phát huy hết khả năng;; Môi trường làm việc văn minh, chuyên nghiệp.; Ứng viên nộp hồ sơ theo Mẫu Thông tin ứng viên VCBS (bắt buộc) để ứng tuyển. Mẫu Thông tin ứng viên đăng tải tại website: http://tuyendung.vcbs.com.vn mục Cơ hội nghề nghiệp, trong đó nêu rõ kinh nghiệm công tác và quá trình đào tạo.; VCBS ưu tiên ứng viên gửi hồ sơ sớm; VCBS có thể kết thúc việc tuyển dụng trước hạn khi đã tìm được ứng viên phù hợp.; VCBS chỉ liên hệ với các ứng viên đủ điều kiện tham gia dự thi."
Chuyên viên lập trình báo cáo các phân hệ SAP,Tổng công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội (HABECO - Bia Hà Nội),Lương: 15 Tr - 25 Tr VND,Hà Nội,Hạn nộp: 06-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-lap-trinh-bao-cao-cac-phan-he-sap.35C1F5F2.html,"Nắm vững kiến thức về lập trình ABAP (có kinh nghiệm lập trình ABAP là lợi thế); Có kiến thức về Java, C#, C/C++, Excel VBA, Python, Web API, Native, React Native; Có kiến thức lập trình (OOP) và truy vấn CSDL SQL; Có kiến thức về quản trị hệ thống (Windows, UNIX, Linux).; Khả năng phân tích và giải quyết vấn đề tốt; Khả năng truyền tải thông tin và làm việc nhóm.; Có khả năng sử dụng tiếng Anh là một lợi thế.; Tối thiểu 01 năm kinh nghiệm lập trình C#, các công nghệ .NET, ASP.NET…cơ sở dữ liệu MS SQL; Ưu tiên ứng viên có kinh nghiệm làm việc với hệ thống SAP ERP"
Senior Backend Developer (Java),"HD SAISON Finance Co., Ltd",Lương: Cạnh tranh,Hồ Chí Minh,,https://careerviet.vn/vi/tim-viec-lam/senior-backend-developer-java.35C25688.html,"Tối thiểu có 03 năm phát triển phần mềm; Có kiến thức về hoạt động thẻ ngân hàng là một lợi thế; Kiến thức về Java; Có kiến thức về Springboot/ Microservices, JPA, Hibernate; Có kiến thức về lập trình hướng đối tượng, Web Services (REST/SOAP); Kiến thức về Database; Oracle Database (SQL queries, Package, Function, Procedure); Kiến thức về Front-End; Có kiến thức về HTML, CSS, Javascript, Bootstrap; Có kiến thức về ReactJs, Vuejs… là một lợi thế"
Fresher Front-End Developer,CÔNG TY TNHH PHẦN MỀM HALOSOFT,Lương: 7 Tr - 8 Tr VND,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 6 ngày,https://careerviet.vn/vi/tim-viec-lam/fresher-front-end-developer.35C2198C.html,"Nắm vững kiến thức chuyên môn HTML5/ CSS-SCSS, BOOTSTRAP, JS, PHOTOSHOP.; Tốt nghiệp cao đẳng/ đại học chuyên ngành công nghệ thông tin.; Thể hiện các dự án đã hoàn thành và các sản phẩm template qua cv.; Kỹ năng phân tích vấn đề, tư duy logic tốt.; Khả năng đọc hiểu tài liệu tiếng Anh và khai thác công cụ tìm kiếm.; Có khả năng làm việc độc lập và làm việc theo nhóm.; Có khả năng chịu áp lực tốt.; Môi trường trẻ chuyên nghiệp, năng động, sáng tạo, phát triển, có nhiều cơ hội thăng tiến.; Được đào tạo nâng cao năng lực, thoải mái đề xuất ý tưởng để nâng cao hiệu suất làm việc.; Được hưởng đầy đủ các chính sách về lao động theo luật lao động về bảo hiểm, Lương, thưởng, nghỉ Lễ, Tết...; Chế độ đãi ngộ tốt, thưởng lễ, Tết, sinh nhật, thưởng theo dự án, thưởng năm, tháng lương tháng 13 (thưởng danh hiệu theo cá nhân, thưởng kết quả hoạt động, kinh doanh của Đơn vị,...); Cơ hội nghề nghiệp & lộ trình thăng tiến rõ ràng.; Trang phục tự do, phòng làm việc rộng rãi đầy đủ tiện nghi.; Du lịch nghỉ mát hàng năm.; Happy hour và nhiều sự kiện khác hàng tuần.; Sử dụng máy tính của công ty.; Thời gian làm việc từ 08h00-17h30 thứ 2 đến thứ 6, nghỉ trưa 1 giờ 30 phút.; Phụ cấp cơm trưa."
Chuyên viên Product designer (UI/UX),Công ty Cổ phần Masscom Việt Nam,Lương: 12 Tr - 15 Tr VND,Hà Nội,Hạn nộp: 30-11-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-product-designer-ui-ux.35C2196A.html,Không có mô tả
Project Manager,Công ty Easia Travel,Lương: Cạnh tranh,Hà Nội,Hạn nộp: 30-11-2024,https://careerviet.vn/vi/tim-viec-lam/project-manager.35C22F4A.html,"Strong project management skills, preferably with experience in software implementation or technical products.; Excellent communication and coordination abilities across multiple teams and stakeholders.; Experience with project management tools.; Strong understanding of travel industry operations, especially in tour and product management.; Problem-solving skills and a proactive approach to technical issues.; Bachelor’s degree in Project Management, IT or a related field.; Experience in project management within the travel industry or software development."
"Chuyên viên ERB - Chuyển Đổi Số
                                             (Mới)",Công Ty Cổ Phần Xây Dựng Phước Thành,Lương: 20 Tr - 25 Tr VND,Hồ Chí Minh,Hạn nộp: 30-11-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-erb-chuyen-doi-so.35C261E5.html,Không có mô tả
Product Manager,CareerViet,Lương: Cạnh tranh,Hồ Chí Minh,,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C21DEE.html,"A Bachelor's Degree in Computer Science/IT, Marketing or related fields.; Minimum 5 years of experience in Web Product Management role.; Solid technical background with understanding and/or hands-on experience in software development and web/mobile technologies.; Strong knowledge of Internet marketing and SEO.; Fluent English (both verbal and writing).; Strong analytical thinking and problem solving skills.; Customer-oriented product development.; Independent, highly driven, confident, dynamic, and an articulate communicator.; Job site/online recruitment software product experience is a plus.; Attractive salary and bonus package; Annually Performance-based bonuses; Quarterly & Yearly Best Performer Awards; Work in a global, dynamic and friendly working environment.; 24/24 Accidental & Healthcare Insurance Package; Annual leave by job level"
Product Owner,CareerViet,Lương: Cạnh tranh,Hồ Chí Minh,Hạn nộp: 26-11-2024,https://careerviet.vn/vi/tim-viec-lam/product-owner.35C1D9A5.html,"A Bachelor's Degree in Computer Science/IT, Marketing or related fields.; Minimum 3 years of experience in Web Product Management role.; Solid technical background with understanding and/or hands-on experience in software development and web/mobile technologies.; Strong knowledge of Internet marketing and SEO.; Fluent English (both verbal and writing).; Strong analytical thinking and problem solving skills.; Customer-oriented product development.; Independent, highly driven, confident, dynamic, and an articulate communicator.; Job site/online recruitment software product experience is a plus.; Attractive salary and bonus package; Annually Performance-based bonuses; Quarterly & Yearly Best Performer Awards; Work in a global, dynamic and friendly working environment.; 24/24 Accidental & Healthcare Insurance Package; Annual leave by job level"
Giám sát IT (Chuyên hệ thống ERP)/ ERP Supervisor,CÔNG TY TNHH CIRQL MANUFACTURING VIETNAM,Lương: 25 Tr - 30 Tr VND,Hồ Chí Minh,Hạn nộp: 15-12-2024,https://careerviet.vn/vi/tim-viec-lam/giam-sat-it-chuyen-he-thong-erp-erp-supervisor.35C25C7D.html,Không có mô tả
Senior Business Analyst,CÔNG TY TNHH CÔNG NGHỆ B2B,"Lương: 800 - 1,000 USD",Hồ Chí Minh,Hạn nộp: 07-12-2024,https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst.35C1FBB1.html,Không có mô tả
